sample_index,timestamp_ms,ir,red
0,1,643,482
1,1,653,490
2,1,619,494
3,2,611,527
4,2,606,490
5,2,596,494
6,2,631,478
7,3,636,473
8,3,646,475
9,3,634,486
10,3,620,519
11,4,606,499
12,4,611,506
13,4,635,484
14,4,655,483
15,4,640,469
16,4,635,470
17,4,613,505
18,5,607,509
19,5,687,600
20,5,1072,828
21,5,1842,1135
22,5,2442,1199
23,5,2664,1288
24,5,2956,1545
25,5,3195,1710
26,6,3146,1771
27,6,3174,1824
28,6,3054,1710
29,7,2715,1575
30,7,2524,1356
31,7,2070,814
32,7,1484,897
33,7,1355,957
34,7,1398,970
35,7,1365,908
36,7,1257,811
37,8,1154,749
38,8,1014,671
39,8,939,672
40,8,904,671
41,8,902,647
42,8,897,631
43,9,905,596
44,9,885,593
45,9,872,584
46,9,838,615
47,9,840,620
48,9,851,637
49,9,894,646
50,9,1005,668
51,9,1012,667
52,9,1012,660
53,9,952,661
54,9,904,658
55,9,864,630
56,9,847,599
57,10,857,575
58,10,860,580
59,10,845,599
60,10,837,608
61,10,827,647
62,10,835,637
63,10,869,642
64,10,913,639
65,10,970,647
66,10,972,635
67,10,871,604
68,10,851,660
69,10,872,685
70,10,989,798
71,10,1323,1162
72,11,2286,2003
73,11,3435,2221
74,11,2932,1762
75,11,2474,1644
76,11,2489,1754
77,12,2901,2194
78,12,4138,3336
79,12,6868,5599
80,12,11187,8931
81,12,17156,14148
82,12,26442,21283
83,12,39201,31591
84,12,58316,49594
85,12,84560,62132
86,12,78415,49183
87,13,61093,41426
88,13,61213,45099
89,13,70702,52609
90,13,75799,55939
91,13,78349,53755
92,13,83682,40182
93,13,33303,16685
94,13,17345,9690
95,13,11832,7541
96,13,10935,8141
97,13,13483,11152
98,14,18979,16206
99,14,25782,22264
100,14,33981,31284
101,14,48630,48597
102,14,74635,74565
103,14,107396,85071
104,14,140166,92797
105,14,147480,94165
106,14,150157,94949
107,14,153031,95772
108,14,156437,96798
109,14,160263,97740
110,15,163055,98332
111,15,163703,97954
112,15,164340,98121
113,15,164640,98209
114,15,164836,98225
115,15,164998,98268
116,15,165126,98312
117,15,165219,98331
118,15,165244,98357
119,15,165286,98381
120,15,165317,98361
121,15,165389,98359
122,15,165401,98318
123,16,165394,98270
124,16,165305,98222
125,16,165202,98179
126,16,165101,98179
127,16,165003,98124
128,16,164953,98110
129,16,164915,98056
130,16,164923,98040
131,16,164868,98000
132,16,164792,97981
133,16,164699,97978
134,16,164637,97953
135,17,164595,97919
136,17,164564,97861
137,17,164541,97811
138,17,164527,97781
139,17,164535,97757
140,17,164490,97732
141,17,164423,97746
142,17,164390,97710
143,17,164398,97682
144,17,164385,97672
145,17,164436,97615
146,17,164414,97620
147,18,164414,97619
148,18,164411,97620
149,18,164386,97627
150,18,164399,97601
151,18,164414,97580
152,18,164453,97547
153,18,164463,97559
154,18,164484,97559
155,18,164449,97597
156,18,164464,97591
157,18,164455,97592
158,19,164458,97575
159,19,164545,97554
160,19,164538,97569
161,19,164590,97569
162,19,164558,97568
163,19,164516,97564
164,19,164427,97514
165,19,164370,97510
166,19,164307,97466
167,19,164310,97437
168,19,164276,97446
169,19,164240,97452
170,19,164221,97468
171,20,164187,97468
172,20,164219,97447
173,20,164236,97439
174,20,164293,97417
175,20,164282,97378
176,20,164282,97385
177,20,164287,97416
178,20,164261,97429
179,20,164277,97434
180,20,164302,97399
181,20,164384,97380
182,20,164362,97372
183,20,164395,97379
184,20,164380,97385
185,21,164372,97398
186,21,164373,97404
187,21,164394,97373
188,21,164461,97372
189,21,164460,97340
190,21,164465,97360
191,21,164480,97372
192,21,164466,97382
193,21,164444,97378
194,21,164481,97374
195,21,164535,97365
196,22,164546,97349
197,22,164582,97342
198,22,164586,97338
199,22,164593,97375
200,22,164553,97370
201,22,164528,97359
202,22,164464,97322
203,22,164399,97273
204,22,164329,97251
205,22,164306,97265
206,22,164273,97279
207,22,164258,97291
208,22,164251,97296
209,22,164267,97265
210,22,164301,97252
211,23,164286,97238
212,23,164283,97256
213,23,164264,97251
214,23,164258,97297
215,23,164243,97275
216,23,164283,97295
217,23,164311,97267
218,23,164351,97245
219,23,164346,97259
220,23,164347,97252
221,23,164339,97289
222,23,164302,97283
223,23,164348,97282
224,23,164349,97257
225,23,164409,97242
226,24,164420,97249
227,24,164396,97239
228,24,164396,97264
229,24,164406,97283
230,24,164420,97264
231,24,164432,97239
232,24,164483,97213
233,24,164490,97199
234,24,164493,97229
235,24,164462,97229
236,24,164436,97252
237,24,164426,97246
238,24,164430,97232
239,24,164336,97181
240,24,164273,97136
241,25,164169,97129
242,25,164088,97112
243,25,164021,97130
244,25,163986,97119
245,25,163968,97114
246,25,163967,97063
247,25,163962,97063
248,25,163916,97042
249,25,163896,97043
250,25,163871,97065
251,25,163829,97079
252,25,163824,97049
253,25,163831,97037
254,25,163884,97035
255,25,163863,97010
256,25,163870,97016
257,26,163841,97021
258,26,163826,97031
259,26,163786,97006
260,26,163815,96997
261,26,163836,97001
262,26,163854,96983
263,28,163865,96983
264,47,163841,96984
265,66,163850,97008
266,85,163822,96997
267,104,163852,96999
268,123,163874,96995
269,143,163922,96984
270,162,163894,96979
271,181,163899,96984
272,200,163894,97011
273,219,163910,97026
274,238,163913,97020
275,257,163910,96994
276,276,163887,96971
277,296,163816,96921
278,315,163705,96917
279,334,163589,96901
280,353,163487,96901
281,372,163403,96890
282,391,163383,96865
283,410,163373,96827
284,430,163352,96818
285,449,163315,96781
286,468,163264,96784
287,487,163211,96805
288,506,163172,96799
289,525,163183,96804
290,544,163209,96773
291,564,163221,96742
292,583,163196,96733
293,602,163202,96748
294,621,163181,96764
295,640,163136,96772
296,659,163136,96745
297,678,163153,96742
298,697,163186,96731
299,717,163178,96692
300,736,163193,96703
301,755,163181,96730
302,774,163174,96754
303,793,163165,96753
304,812,163198,96729
305,831,163227,96715
306,851,163256,96707
307,870,163269,96713
308,889,163268,96715
309,908,163245,96737
310,927,163231,96730
311,946,163262,96718
312,965,163288,96701
313,985,163322,96686
314,1004,163328,96685
315,1023,163307,96677
316,1042,163195,96691
317,1061,163074,96676
318,1080,162933,96627
319,1099,162844,96609
320,1118,162823,96568
321,1138,162726,96529
322,1157,162716,96532
323,1176,162646,96549
324,1195,162574,96549
325,1214,162524,96529
326,1233,162501,96502
327,1252,162494,96467
328,1272,162499,96459
329,1291,162494,96468
330,1310,162481,96472
331,1329,162469,96501
332,1348,162439,96490
333,1367,162470,96493
334,1386,162463,96466
335,1406,162514,96445
336,1425,162471,96440
337,1444,162486,96451
338,1463,162471,96470
339,1482,162439,96487
340,1501,162440,96480
341,1520,162467,96451
342,1539,162520,96436
343,1559,162524,96429
344,1578,162545,96457
345,1597,162520,96460
346,1616,162536,96488
347,1635,162514,96487
348,1654,162575,96484
349,1673,162589,96450
350,1693,162614,96430
351,1712,162638,96449
352,1731,162639,96461
353,1750,162627,96496
354,1769,162660,96500
355,1788,162684,96487
356,1807,162680,96450
357,1827,162648,96425
358,1846,162523,96384
359,1865,162375,96347
360,1884,162241,96373
361,1903,162120,96352
362,1922,162053,96339
363,1941,161999,96307
364,1960,161988,96269
365,1980,161929,96240
366,1999,161910,96233
367,2018,161844,96239
368,2037,161792,96252
369,2056,161733,96228
370,2075,161740,96220
371,2094,161766,96194
372,2114,161759,96170
373,2133,161757,96165
374,2152,161741,96184
375,2171,161706,96198
376,2190,161665,96195
377,2209,161716,96184
378,2228,161680,96170
379,2248,161724,96161
380,2267,161703,96136
381,2286,161705,96124
382,2305,161716,96186
383,2324,161698,96186
384,2343,161707,96194
385,2362,161719,96165
386,2381,161783,96163
387,2401,161794,96156
388,2420,161820,96171
389,2439,161810,96180
390,2458,161818,96215
391,2477,161798,96196
392,2496,161845,96181
393,2515,161873,96164
394,2535,161938,96178
395,2554,161944,96189
396,2573,161952,96206
397,2592,161968,96230
398,2611,161957,96222
399,2630,161870,96208
400,2649,161752,96168
401,2669,161635,96116
402,2688,161483,96058
403,2707,161369,96050
404,2726,161280,96074
405,2745,161197,96062
406,2764,161155,96057
407,2783,161125,96010
408,2802,161113,96007
409,2822,161062,95968
410,2841,161024,95978
411,2860,160978,95992
412,2879,160973,96013
413,2898,160945,96000
414,2917,160993,96007
415,2936,161043,95975
416,2956,161053,95977
417,2975,161044,95970
418,2994,161031,95977
419,3013,161010,96039
420,3032,161010,96016
421,3051,161029,96023
422,3070,161060,95992
423,3090,161121,95997
424,3109,161112,95990
425,3128,161130,96001
426,3147,161137,96046
427,3166,161124,96057
428,3185,161135,96053
429,3204,161175,96041
430,3223,161253,96043
431,3243,161258,96026
432,3262,161264,96039
433,3281,161267,96073
434,3300,161285,96095
435,3319,161281,96087
436,3338,161304,96086
437,3357,161387,96100
438,3377,161424,96083
439,3396,161419,96074
440,3415,161296,96069
441,3434,161158,96047
442,3453,160991,95995
443,3472,160862,95967
444,3491,160766,95934
445,3511,160749,95899
446,3530,160678,95890
447,3549,160637,95887
448,3568,160581,95927
449,3587,160526,95901
450,3606,160494,95894
451,3625,160490,95874
452,3645,160520,95873
453,3664,160544,95852
454,3683,160540,95870
455,3702,160539,95901
456,3721,160517,95920
457,3740,160534,95934
458,3759,160542,95913
459,3778,160612,95904
460,3798,160592,95903
461,3817,160622,95917
462,3836,160628,95951
463,3855,160620,95970
464,3874,160651,95966
465,3893,160700,95965
466,3912,160759,95967
467,3932,160792,95952
468,3951,160835,95972
469,3970,160849,95983
470,3989,160898,96036
471,4008,160910,96030
472,4027,160938,96053
473,4046,160984,96027
474,4066,161053,96017
475,4085,161077,96026
476,4104,161085,96039
477,4123,161118,96079
478,4142,161113,96091
479,4161,161045,96074
480,4180,160944,96001
481,4199,160835,95967
482,4219,160712,95929
483,4238,160584,95920
484,4257,160505,95913
485,4276,160468,95928
486,4295,160388,95906
487,4314,160378,95895
488,4333,160369,95874
489,4353,160357,95856
490,4372,160336,95865
491,4391,160307,95859
492,4410,160328,95895
493,4429,160309,95894
494,4448,160324,95874
495,4467,160360,95872
496,4487,160410,95863
497,4506,160418,95874
498,4525,160424,95877
499,4544,160417,95892
500,4563,160419,95913
501,4582,160447,95932
502,4601,160471,95913
503,4620,160568,95919
504,4640,160588,95924
505,4659,160641,95962
506,4678,160626,96001
507,4697,160658,96034
508,4716,160680,96043
509,4735,160721,96028
510,4754,160767,96005
511,4774,160830,96000
512,4793,160868,96032
513,4812,160886,96049
514,4831,160898,96088
515,4850,160943,96098
516,4869,161012,96098
517,4888,161033,96087
518,4908,161054,96060
519,4927,160953,96039
520,4946,160805,95997
521,4965,160640,96023
522,4984,160530,95994
523,5003,160464,95970
524,5022,160421,95932
525,5041,160424,95908
526,5061,160373,95881
527,5080,160345,95877
528,5099,160296,95914
529,5118,160244,95909
530,5137,160230,95902
531,5156,160222,95883
532,5175,160284,95886
533,5195,160299,95864
534,5214,160323,95900
535,5233,160319,95906
536,5252,160337,95935
537,5271,160339,95928
538,5290,160380,95938
539,5309,160426,95920
540,5329,160483,95903
541,5348,160494,95931
542,5367,160510,95939
543,5386,160519,95975
544,5405,160533,95978
545,5424,160580,95967
546,5443,160623,95971
547,5463,160679,95958
548,5482,160698,95968
549,5501,160725,95978
550,5520,160739,96018
551,5539,160741,96013
552,5558,160751,96029
553,5577,160799,95999
554,5596,160853,95996
555,5616,160881,96003
556,5635,160903,96017
557,5654,160901,96040
558,5673,160950,96077
559,5692,160924,96060
560,5711,160892,96009
561,5730,160811,95964
562,5750,160643,95911
563,5769,160531,95892
564,5788,160416,95869
565,5807,160328,95882
566,5826,160251,95869
567,5845,160208,95842
568,5864,160163,95806
569,5884,160149,95779
570,5903,160084,95740
571,5922,160040,95769
572,5941,160010,95803
573,5960,159993,95782
574,5979,160018,95803
575,5998,160036,95775
576,6018,160111,95781
577,6037,160109,95772
578,6056,160120,95785
579,6075,160111,95805
580,6094,160107,95819
581,6113,160138,95816
582,6132,160180,95797
583,6151,160238,95784
584,6171,160265,95782
585,6190,160269,95779
586,6209,160304,95808
587,6228,160296,95839
588,6247,160286,95842
589,6266,160333,95825
590,6285,160386,95817
591,6305,160421,95810
592,6324,160459,95828
593,6343,160456,95844
594,6362,160474,95886
595,6381,160492,95871
596,6400,160530,95879
597,6419,160583,95864
598,6439,160624,95870
599,6458,160649,95866
600,6477,160675,95887
601,6496,160691,95914
602,6515,160651,95918
603,6534,160583,95873
604,6553,160465,95836
605,6572,160354,95762
606,6592,160213,95710
607,6611,160148,95691
608,6630,160008,95680
609,6649,159917,95661
610,6668,159824,95620
611,6687,159778,95576
612,6706,159717,95556
613,6726,159687,95519
614,6745,159621,95501
615,6764,159543,95511
616,6783,159495,95531
617,6802,159456,95525
618,6821,159495,95501
619,6840,159509,95515
620,6860,159553,95503
621,6879,159558,95470
622,6898,159524,95489
623,6917,159520,95534
624,6936,159536,95529
625,6955,159581,95549
626,6974,159623,95544
627,6994,159684,95543
628,7013,159735,95538
629,7032,159762,95568
630,7051,159789,95601
631,7070,159803,95626
632,7089,159840,95638
633,7108,159899,95620
634,7127,160000,95629
635,7147,160045,95627
636,7166,160077,95648
637,7185,160073,95679
638,7204,160116,95717
639,7223,160125,95705
640,7242,160173,95716
641,7261,160229,95731
642,7281,160297,95724
643,7300,160359,95745
644,7319,160353,95756
645,7338,160305,95773
646,7357,160191,95746
647,7376,160078,95698
648,7395,159968,95675
649,7415,159924,95648
650,7434,159859,95640
651,7453,159820,95632
652,7472,159785,95658
653,7491,159728,95654
654,7510,159698,95643
655,7529,159653,95599
656,7548,159699,95610
657,7568,159683,95602
658,7587,159734,95605
659,7606,159723,95650
660,7625,159764,95684
661,7644,159786,95669
662,7663,159810,95687
663,7682,159851,95670
664,7702,159871,95646
665,7721,159890,95675
666,7740,159900,95688
667,7759,159905,95736
668,7778,159924,95724
669,7797,159971,95743
670,7816,160025,95729
671,7836,160078,95735
672,7855,160109,95731
673,7874,160124,95752
674,7893,160156,95809
675,7912,160184,95813
676,7931,160200,95817
677,7950,160255,95816
678,7969,160321,95806
679,7989,160356,95789
680,8008,160392,95853
681,8027,160415,95855
682,8046,160462,95898
683,8065,160479,95893
684,8084,160462,95856
685,8103,160405,95836
686,8123,160285,95793
687,8142,160140,95766
688,8161,160009,95750
689,8180,159939,95757
690,8199,159882,95747
691,8218,159870,95749
692,8237,159836,95701
693,8257,159840,95678
694,8276,159801,95654
695,8295,159755,95669
696,8314,159720,95717
697,8333,159700,95714
698,8352,159746,95729
699,8371,159755,95699
700,8391,159848,95697
701,8410,159831,95696
702,8429,159845,95698
703,8448,159825,95729
704,8467,159829,95764
705,8486,159870,95774
706,8505,159881,95761
707,8524,159981,95759
708,8544,159984,95755
709,8563,160023,95761
710,8582,160042,95787
711,8601,160072,95827
712,8620,160073,95835
713,8639,160131,95839
714,8658,160182,95837
715,8678,160241,95827
716,8697,160259,95829
717,8716,160251,95842
718,8735,160284,95890
719,8754,160304,95900
720,8773,160356,95906
721,8792,160416,95896
722,8812,160482,95894
723,8831,160433,95866
724,8850,160363,95869
725,8869,160193,95849
726,8888,160034,95812
727,8907,159894,95789
728,8926,159806,95747
729,8945,159800,95711
730,8965,159729,95703
731,8984,159691,95692
732,9003,159624,95690
733,9022,159564,95712
734,9041,159498,95692
735,9060,159518,95687
736,9079,159535,95673
737,9099,159569,95657
738,9118,159595,95679
739,9137,159597,95684
740,9156,159601,95728
741,9175,159598,95736
742,9194,159649,95732
743,9213,159673,95733
744,9233,159730,95726
745,9252,159717,95717
746,9271,159752,95744
747,9290,159775,95792
748,9309,159772,95788
749,9328,159828,95811
750,9347,159863,95807
751,9366,159937,95811
752,9386,159987,95806
753,9405,160053,95840
754,9424,160057,95868
755,9443,160082,95895
756,9462,160132,95894
757,9481,160154,95888
758,9500,160218,95887
759,9520,160285,95894
760,9539,160328,95906
761,9558,160349,95931
762,9577,160392,95995
763,9596,160380,95962
764,9615,160342,95929
765,9634,160217,95884
766,9654,160075,95826
767,9673,159921,95795
768,9692,159804,95791
769,9711,159697,95798
770,9730,159612,95776
771,9749,159571,95760
772,9768,159497,95749
773,9788,159490,95730
774,9807,159439,95692
775,9826,159409,95702
776,9845,159376,95732
777,9864,159380,95743
778,9883,159426,95760
779,9902,159464,95757
780,9921,159545,95775
781,9941,159573,95761
782,9960,159585,95784
783,9979,159591,95793
784,9998,159617,95844
785,10017,159600,95835
786,10036,159657,95839
787,10055,159725,95848
788,10075,159775,95842
789,10094,159821,95843
790,10113,159840,95868
791,10132,159881,95932
792,10151,159892,95910
793,10170,159945,95923
794,10189,160004,95915
795,10209,160059,95919
796,10228,160109,95916
797,10247,160149,95937
798,10266,160173,95980
799,10285,160208,96000
800,10304,160236,96001
801,10323,160295,96002
802,10342,160395,95997
803,10362,160434,96002
804,10381,160500,96042
805,10400,160493,96042
806,10419,160436,96067
807,10438,160278,96002
808,10457,160127,95952
809,10476,159968,95904
810,10496,159865,95860
811,10515,159767,95857
812,10534,159660,95847
813,10553,159586,95855
814,10572,159502,95846
815,10591,159467,95816
816,10610,159443,95791
817,10630,159466,95779
818,10649,159426,95797
819,10668,159440,95816
820,10687,159460,95854
821,10706,159489,95861
822,10725,159516,95868
823,10744,159560,95850
824,10763,159651,95851
825,10783,159656,95848
826,10802,159692,95889
827,10821,159692,95910
828,10840,159708,95941
829,10859,159744,95947
830,10878,159792,95945
831,10897,159862,95927
832,10917,159917,95889
833,10936,159893,95913
834,10955,159915,95947
835,10974,159919,95976
836,10993,159951,95966
837,11012,159993,95970
838,11031,160041,95996
839,11051,160138,95970
840,11070,160153,95978
841,11089,160220,95994
842,11108,160250,96043
843,11127,160263,96065
844,11146,160330,96087
845,11165,160384,96061
846,11184,160449,96058
847,11204,160461,96071
848,11223,160478,96073
849,11242,160357,96065
850,11261,160202,96024
851,11280,159993,95994
852,11299,159849,95931
853,11318,159765,95902
854,11338,159670,95866
855,11357,159572,95871
856,11376,159507,95846
857,11395,159441,95873
858,11414,159367,95851
859,11433,159343,95842
860,11452,159342,95837
861,11472,159377,95821
862,11491,159366,95837
863,11510,159432,95855
864,11529,159443,95906
865,11548,159506,95915
866,11567,159553,95917
867,11586,159597,95914
868,11605,159666,95911
869,11625,159664,95910
870,11644,159701,95917
871,11663,159733,95959
872,11682,159739,95976
873,11701,159803,95979
874,11720,159881,95978
875,11739,159957,95976
876,11759,160017,95983
877,11778,160078,95996
878,11797,160139,96043
879,11816,160142,96064
880,11835,160169,96080
881,11854,160229,96075
882,11873,160283,96075
883,11893,160365,96079
884,11912,160399,96076
885,11931,160440,96099
886,11950,160475,96140
887,11969,160543,96167
888,11988,160563,96178
889,12007,160644,96169
890,12026,160707,96156
891,12046,160636,96116
892,12065,160492,96080
893,12084,160270,96063
894,12103,160072,96057
895,12122,159908,96011
896,12141,159829,95963
897,12160,159782,95937
898,12180,159760,95914
899,12199,159737,95928
900,12218,159677,95916
901,12237,159665,95960
902,12256,159601,95935
903,12275,159615,95927
904,12294,159670,95926
905,12314,159760,95925
906,12333,159793,95935
907,12352,159858,95957
908,12371,159847,95995
909,12390,159862,96010
910,12409,159901,96008
911,12428,159933,95996
912,12448,160016,95984
913,12467,160048,95990
914,12486,160081,96015
915,12505,160087,96042
916,12524,160116,96062
917,12543,160147,96079
918,12562,160200,96082
919,12581,160284,96072
920,12601,160353,96073
921,12620,160380,96096
922,12639,160398,96114
923,12658,160437,96162
924,12677,160444,96137
925,12696,160497,96147
926,12715,160540,96145
927,12735,160626,96134
928,12754,160701,96139
929,12773,160695,96158
930,12792,160602,96176
931,12811,160475,96134
932,12830,160311,96087
933,12849,160175,96044
934,12869,160109,95992
935,12888,160036,95972
936,12907,159979,95980
937,12926,159927,95995
938,12945,159877,95983
939,12964,159823,95988
940,12983,159809,95978
941,13002,159866,95959
942,13022,159872,95969
943,13041,159929,95977
944,13060,159969,96007
945,13079,159989,96037
946,13098,159991,96035
947,13117,160060,96033
948,13136,160097,96035
949,13156,160156,96043
950,13175,160172,96018
951,13194,160179,96041
952,13213,160185,96061
953,13232,160214,96085
954,13251,160264,96090
955,13270,160326,96098
956,13290,160404,96094
957,13309,160460,96088
958,13328,160491,96113
959,13347,160513,96132
960,13366,160510,96157
961,13385,160537,96169
962,13404,160587,96158
963,13423,160654,96157
964,13443,160697,96161
965,13462,160748,96172
966,13481,160767,96203
967,13500,160762,96201
968,13519,160665,96175
969,13538,160553,96127
970,13557,160406,96090
971,13577,160301,96046
972,13596,160205,96026
973,13615,160137,96023
974,13634,160056,96041
975,13653,160002,96019
976,13672,159964,96018
977,13691,159960,95976
978,13711,159947,95959
979,13730,159913,95943
980,13749,159921,95953
981,13768,159930,95996
982,13787,159953,96011
983,13806,160010,96004
984,13825,160065,96011
985,13844,160153,96005
986,13864,160173,95988
987,13883,160200,96009
988,13902,160217,96039
989,13921,160229,96061
990,13940,160236,96057
991,13959,160287,96062
992,13978,160349,96065
993,13998,160393,96028
994,14017,160434,96076
995,14036,160467,96094
996,14055,160476,96133
997,14074,160486,96119
998,14093,160528,96125
999,14112,160588,96113
1000,14132,160646,96109
1001,14151,160680,96125
1002,14170,160708,96137
1003,14189,160729,96176
1004,14208,160745,96177
1005,14227,160776,96184
1006,14246,160789,96177
1007,14265,160754,96134
1008,14285,160629,96074
1009,14304,160457,96047
1010,14323,160300,96046
1011,14342,160186,96035
1012,14361,160125,96031
1013,14380,160084,95986
1014,14399,160055,95973
1015,14419,160011,95933
1016,14438,159972,95935
1017,14457,159898,95930
1018,14476,159869,95963
1019,14495,159821,95929
1020,14514,159872,95938
1021,14533,159897,95924
1022,14553,159996,95930
1023,14572,160027,95937
1024,14591,160021,95958
1025,14610,160050,95998
1026,14629,160046,96000
1027,14648,160068,95994
1028,14667,160109,95972
1029,14687,160193,95987
1030,14706,160220,95987
1031,14725,160244,96006
1032,14744,160272,96044
1033,14763,160284,96060
1034,14782,160330,96069
1035,14801,160378,96069
1036,14820,160455,96068
1037,14840,160509,96054
1038,14859,160551,96066
1039,14878,160567,96092
1040,14897,160594,96149
1041,14916,160582,96139
1042,14935,160662,96146
1043,14954,160733,96147
1044,14974,160787,96155
1045,14993,160807,96128
1046,15012,160850,96150
1047,15031,160860,96207
1048,15050,160806,96184
1049,15069,160708,96145
1050,15088,160575,96085
1051,15108,160443,96043
1052,15127,160316,96006
