sample_index,timestamp_ms,ir,red
0,1,827,615
1,1,868,662
2,1,918,744
3,2,992,834
4,2,1129,956
5,2,1318,1084
6,2,1565,1263
7,3,1826,1492
8,3,2172,1821
9,3,2591,2216
10,3,3023,2608
11,3,3521,3061
12,3,4163,3618
13,3,4959,4351
14,3,5885,5297
15,4,7086,6470
16,4,8445,7696
17,4,9079,7370
18,4,7392,5273
19,4,5268,3652
20,4,4182,2992
21,4,3966,2958
22,5,4234,3184
23,5,4621,3561
24,5,5290,4362
25,5,6480,5525
26,5,8054,7133
27,5,10278,9316
28,6,12856,11633
29,6,15410,13876
30,6,18400,17068
31,6,22639,21215
32,6,28093,26383
33,7,35204,32448
34,7,43941,39503
35,7,55344,47875
36,7,68726,55844
37,7,82303,66508
38,7,94926,75501
39,7,105454,80644
40,8,109454,78658
41,8,103696,69805
42,8,94047,60744
43,8,86129,54923
44,8,84974,55667
45,8,90884,60386
46,8,101415,68053
47,9,112853,75269
48,9,121164,81186
49,9,127040,84501
50,9,129473,86515
51,9,130366,87662
52,9,131160,88523
53,9,130840,87419
54,9,131753,85908
55,9,134252,86913
56,10,137583,88850
57,10,140420,90973
58,10,143003,92968
59,10,145304,94102
60,10,148585,95382
61,10,151636,96029
62,10,155220,97053
63,10,158413,97855
64,10,160897,98444
65,10,162519,98250
66,10,163478,98732
67,11,163748,98832
68,11,163793,98698
69,11,163264,98707
70,11,163690,98667
71,11,163691,98640
72,11,163685,99153
73,11,163908,100357
74,11,164017,101806
75,12,163527,103340
76,12,160319,102880
77,12,154707,102157
78,12,146523,100242
79,12,136462,94756
80,12,126825,87340
81,12,114872,78212
82,12,106089,74007
83,12,100664,68828
84,12,89432,59418
85,12,75279,50483
86,13,65008,44255
87,13,57652,39677
88,13,52760,37203
89,13,51139,37563
90,13,53116,40565
91,13,58324,45539
92,13,65308,52138
93,13,74479,60389
94,13,85123,69385
95,13,95767,78572
96,13,108876,89036
97,13,123222,95428
98,14,130913,92583
99,14,130647,88934
100,14,131269,86929
101,14,131233,85934
102,14,132395,85720
103,14,134326,86312
104,14,137532,88124
105,14,142294,90975
106,14,147071,92025
107,14,146880,91616
108,14,146346,91328
109,14,146783,91811
110,14,147885,92900
111,15,150544,94172
112,15,153009,95060
113,15,154790,95646
114,15,156047,96028
115,15,157230,96396
116,15,158503,96771
117,15,159686,97072
118,15,160720,97284
119,15,161636,97486
120,15,162395,97694
121,15,163171,97884
122,15,163916,98025
123,15,163937,98132
124,16,164583,98214
125,16,165054,98247
126,16,165401,97643
127,16,165590,97652
128,16,165755,97679
129,16,165856,97674
130,16,165965,97640
131,16,166026,97584
132,16,166039,97522
133,16,166047,97475
134,16,166041,97475
135,16,166042,97496
136,17,166035,97459
137,17,166019,97421
138,17,165953,97365
139,17,165913,97331
140,17,165810,97296
141,17,165712,97256
142,17,165661,97261
143,17,165567,97252
144,17,165503,97210
145,17,165441,97166
146,17,165403,97117
147,17,165341,97064
148,17,165306,97044
149,18,165276,97054
150,18,165283,97080
151,18,165252,97048
152,18,165268,97016
153,18,165286,96995
154,18,165331,96969
155,18,165314,96945
156,18,165302,96931
157,18,165248,96947
158,18,165251,96957
159,18,165266,96924
160,18,165268,96890
161,19,165311,96853
162,19,165325,96852
163,19,165344,96852
164,19,165311,96857
165,19,165345,96868
166,19,165368,96858
167,19,165431,96851
168,19,165470,96844
169,19,165514,96820
170,19,165543,96815
171,19,165544,96815
172,19,165552,96839
173,19,165530,96830
174,19,165467,96808
175,19,165363,96756
176,20,165274,96701
177,20,165165,96666
178,20,165095,96646
179,20,165019,96643
180,20,164987,96673
181,20,164957,96642
