sample_index,timestamp_ms,ir,red
0,1,157730,84384
1,1,157853,84394
2,1,157925,84417
3,2,157948,84455
4,2,157935,84456
5,3,157921,84436
6,3,157935,84435
7,3,157949,84408
8,3,158005,84394
9,3,158008,84434
10,4,158037,84451
11,4,158044,84486
12,4,158060,84475
13,4,158155,84468
14,4,158223,84460
15,4,158271,84461
16,5,158319,84496
17,5,158349,84500
18,5,158405,84542
19,5,158442,84548
20,5,158500,84549
21,5,158563,84524
22,5,158593,84486
23,6,158426,84454
24,6,158168,84405
25,6,157861,84352
26,6,157542,84284
27,7,157347,84229
28,7,157205,84182
29,7,157144,84165
30,7,157102,84174
31,8,157087,84193
32,8,157102,84243
33,9,157126,84251
34,9,157230,84281
35,9,157329,84292
36,9,157481,84293
37,9,157574,84343
38,9,157644,84357
39,9,157661,84406
40,9,157675,84408
41,9,157716,84404
42,9,157737,84387
43,10,157779,84390
44,10,157773,84394
45,10,157781,84418
46,10,157819,84459
47,10,157843,84446
48,10,157919,84451
49,10,157996,84457
50,10,158073,84485
51,10,158143,84483
52,10,158160,84504
53,11,158236,84548
54,11,158288,84581
55,11,158387,84562
56,11,158473,84574
57,11,158552,84559
58,11,158473,84560
59,11,158283,84496
60,11,157987,84477
61,11,157660,84388
62,11,157458,84347
63,11,157290,84295
64,12,157245,84278
65,12,157190,84269
66,12,157169,84289
67,12,157184,84338
68,12,157195,84329
69,12,157254,84347
70,12,157363,84350
71,12,157515,84366
72,12,157640,84390
73,12,157690,84425
74,12,157749,84461
75,13,157758,84476
76,13,157780,84464
77,13,157815,84460
78,13,157866,84452
79,13,157881,84451
80,13,157907,84482
81,13,157944,84544
82,13,157988,84541
83,13,158057,84550
84,13,158124,84539
85,13,158198,84539
86,14,158249,84542
87,14,158319,84576
88,14,158351,84639
89,14,158413,84637
90,14,158507,84659
91,14,158574,84652
92,14,158660,84655
93,14,158616,84623
94,14,158427,84586
95,14,158175,84555
96,14,157887,84482
97,14,157661,84435
98,14,157527,84400
99,15,157488,84366
100,15,157465,84340
101,15,157452,84380
102,15,157438,84416
103,15,157444,84401
104,15,157528,84418
105,15,157603,84431
106,15,157743,84440
107,15,157814,84446
108,15,157911,84479
109,15,157941,84513
110,15,157944,84520
111,16,157973,84504
112,16,157978,84503
113,16,158023,84480
114,16,158018,84486
115,16,158074,84497
116,16,158106,84555
117,16,158122,84561
118,16,158163,84578
119,16,158250,84569
120,17,158340,84560
121,17,158353,84550
122,17,158402,84595
123,17,158455,84622
124,17,158475,84641
125,17,158540,84653
126,17,158611,84634
127,17,158683,84651
128,17,158625,84611
129,17,158493,84586
130,17,158260,84552
131,18,158054,84515
132,18,157852,84522
133,18,157759,84445
134,18,157764,84429
135,18,157718,84427
136,18,157723,84428
137,18,157725,84461
138,18,157730,84474
139,18,157763,84467
140,18,157857,84486
141,18,157999,84493
142,18,158097,84504
143,19,158168,84532
144,19,158201,84559
145,19,158190,84567
146,19,158201,84554
147,19,158201,84540
148,19,158263,84547
149,19,158293,84520
150,19,158319,84550
151,19,158333,84580
152,19,158356,84589
153,19,158398,84616
154,19,158455,84610
155,19,158536,84609
156,19,158612,84589
157,20,158661,84638
158,20,158693,84653
159,20,158738,84693
160,20,158779,84723
161,20,158876,84704
162,20,158960,84691
163,20,158967,84679
164,20,158890,84659
165,20,158665,84629
166,20,158435,84576
167,20,158209,84526
168,20,158054,84485
169,20,157989,84451
170,20,157928,84424
171,20,157910,84439
172,21,157885,84469
173,21,157880,84478
174,21,157903,84477
175,21,157985,84464
176,21,158076,84482
177,21,158167,84486
178,21,158283,84524
179,21,158315,84566
180,21,158346,84594
181,21,158386,84574
182,21,158395,84576
183,21,158454,84558
184,21,158447,84553
185,21,158481,84565
186,21,158471,84603
187,22,158496,84612
188,22,158539,84620
189,22,158583,84610
190,22,158686,84609
191,22,158739,84616
192,22,158784,84641
193,22,158800,84681
194,22,158840,84688
195,22,158914,84698
196,22,158976,84706
197,22,159074,84697
198,22,159134,84697
199,22,159170,84741
200,22,159186,84760
201,23,159092,84733
202,23,158944,84680
203,23,158730,84601
204,23,158553,84540
205,23,158367,84515
206,23,158241,84506
207,23,158192,84510
208,23,158110,84504
209,23,158146,84514
210,23,158178,84490
211,23,158215,84479
212,23,158260,84474
213,23,158299,84516
214,23,158365,84570
215,24,158428,84580
216,24,158527,84600
217,24,158593,84578
218,24,158639,84544
219,24,158589,84575
220,24,158589,84571
221,24,158572,84615
222,24,158570,84602
223,24,158626,84582
224,24,158682,84580
225,24,158744,84566
226,24,158756,84600
227,24,158789,84624
228,24,158804,84660
229,24,158845,84668
230,24,158921,84661
231,25,158983,84651
232,25,159047,84648
233,25,159066,84663
234,25,159106,84712
235,25,159143,84737
236,25,159195,84732
237,25,159255,84721
238,25,159325,84711
239,25,159245,84678
240,25,159076,84659
241,25,158830,84584
242,25,158588,84568
243,25,158394,84534
244,25,158276,84485
245,25,158244,84454
246,25,158233,84425
247,25,158193,84447
248,25,158168,84470
249,26,158175,84499
250,26,158171,84480
251,26,158255,84474
252,26,158367,84488
253,26,158440,84495
254,26,158502,84515
255,26,158526,84557
256,26,158517,84554
257,26,158534,84557
258,26,158528,84531
259,26,158560,84534
260,26,158572,84521
261,26,158580,84535
262,26,158594,84579
263,34,158613,84593
264,53,158651,84584
265,72,158698,84580
266,92,158769,84571
267,111,158823,84575
268,130,158873,84603
269,149,158880,84636
270,168,158906,84654
271,188,158990,84666
272,206,159032,84655
273,226,159123,84664
274,245,159158,84666
275,264,159200,84690
276,283,159253,84726
277,302,159269,84712
278,321,159200,84705
279,340,159085,84644
280,360,158886,84568
281,379,158649,84513
282,398,158427,84506
283,417,158277,84490
284,436,158178,84461
285,455,158136,84446
286,474,158122,84438
287,494,158132,84408
288,514,158122,84412
289,532,158135,84427
290,551,158147,84482
291,570,158188,84488
292,589,158296,84511
293,608,158404,84497
294,628,158459,84505
295,647,158489,84515
296,666,158471,84527
297,685,158482,84544
298,705,158470,84552
299,723,158491,84544
300,743,158532,84534
301,763,158558,84528
302,781,158614,84534
303,800,158626,84568
304,819,158637,84614
305,838,158694,84599
306,857,158747,84616
307,876,158838,84606
308,897,158892,84601
309,915,158953,84654
310,934,158988,84668
311,954,159014,84699
312,972,159054,84716
313,992,159109,84701
314,1010,159207,84689
315,1031,159268,84701
316,1049,159358,84719
317,1068,159364,84769
318,1087,159401,84788
319,1106,159442,84795
320,1125,159395,84755
321,1144,159293,84697
322,1164,159048,84617
323,1183,158828,84598
324,1202,158583,84580
325,1221,158430,84550
326,1240,158356,84542
327,1259,158306,84525
328,1279,158371,84497
329,1298,158359,84492
330,1317,158352,84493
331,1336,158346,84547
332,1355,158389,84551
333,1374,158451,84580
334,1393,158525,84559
335,1413,158661,84571
336,1432,158704,84588
337,1451,158715,84595
338,1470,158722,84630
339,1489,158712,84628
340,1508,158711,84630
341,1527,158728,84616
342,1547,158784,84602
343,1566,158798,84611
344,1585,158843,84622
345,1604,158839,84665
346,1623,158851,84674
347,1643,158917,84677
348,1662,158993,84671
349,1681,159060,84672
350,1700,159101,84673
351,1719,159135,84707
352,1739,159168,84759
353,1757,159202,84757
354,1776,159248,84768
355,1795,159337,84759
356,1815,159422,84768
357,1834,159458,84796
358,1853,159468,84809
359,1872,159495,84832
360,1891,159477,84810
361,1910,159403,84778
362,1929,159208,84713
363,1949,159004,84644
364,1968,158803,84603
365,1988,158654,84603
366,2006,158534,84602
367,2025,158460,84589
368,2044,158478,84562
369,2064,158511,84568
370,2083,158526,84553
371,2102,158530,84553
372,2121,158559,84582
373,2140,158597,84623
374,2159,158676,84659
375,2179,158747,84634
376,2197,158833,84648
377,2217,158874,84639
378,2236,158873,84644
379,2255,158861,84660
380,2274,158828,84696
381,2293,158825,84697
382,2313,158862,84670
383,2331,158943,84671
384,2351,158951,84651
385,2370,158973,84688
386,2389,158995,84714
387,2408,159009,84738
388,2427,159071,84746
389,2446,159102,84719
390,2466,159208,84729
391,2485,159224,84726
392,2504,159259,84750
393,2523,159282,84804
394,2543,159313,84816
395,2561,159374,84814
396,2580,159436,84806
397,2600,159522,84806
398,2620,159544,84810
399,2639,159510,84792
400,2658,159342,84786
401,2676,159130,84732
402,2696,158893,84681
403,2715,158721,84597
404,2735,158591,84568
405,2754,158481,84539
406,2773,158421,84528
407,2791,158391,84574
408,2810,158366,84577
409,2830,158392,84567
410,2848,158395,84552
411,2868,158471,84549
412,2887,158508,84563
413,2907,158587,84610
414,2925,158636,84669
415,2944,158672,84653
416,2964,158729,84656
417,2983,158764,84631
418,3002,158789,84631
419,3022,158774,84637
420,3040,158761,84638
421,3059,158762,84680
422,3078,158753,84678
423,3098,158813,84684
424,3116,158843,84688
425,3137,158921,84678
426,3156,158973,84688
427,3174,159002,84724
428,3194,159027,84771
429,3213,159045,84764
430,3232,159108,84760
431,3251,159191,84763
432,3270,159250,84776
433,3289,159289,84776
434,3309,159321,84800
435,3328,159361,84852
436,3347,159401,84850
437,3366,159459,84832
438,3385,159480,84819
439,3405,159369,84755
440,3423,159154,84729
441,3442,158892,84669
442,3461,158645,84653
443,3481,158450,84620
444,3500,158343,84560
445,3518,158294,84539
446,3538,158248,84533
447,3558,158247,84541
448,3576,158214,84571
449,3595,158217,84572
450,3615,158215,84593
451,3633,158298,84593
452,3652,158402,84594
453,3673,158477,84582
454,3691,158550,84634
455,3710,158557,84665
456,3730,158544,84674
457,3748,158560,84661
458,3768,158582,84641
459,3788,158629,84626
460,3806,158603,84625
461,3826,158609,84652
462,3844,158637,84680
463,3864,158645,84690
464,3883,158697,84709
465,3901,158747,84702
466,3922,158832,84700
467,3941,158882,84714
468,3959,158921,84727
469,3978,158952,84774
470,3998,158983,84780
471,4016,159036,84793
472,4036,159112,84801
473,4056,159197,84793
474,4075,159233,84810
475,4093,159273,84825
476,4113,159322,84869
477,4132,159353,84861
478,4151,159327,84858
479,4170,159219,84798
480,4190,159003,84719
481,4208,158730,84658
482,4227,158484,84623
483,4247,158269,84598
484,4266,158120,84597
485,4285,158060,84552
486,4304,158031,84544
487,4324,158084,84547
488,4342,158062,84551
489,4362,158078,84561
490,4381,158106,84618
491,4400,158166,84628
492,4418,158282,84657
493,4438,158405,84660
494,4458,158489,84675
495,4476,158568,84701
496,4496,158598,84726
497,4515,158613,84758
498,4534,158631,84766
499,4552,158677,84766
500,4571,158669,84739
501,4591,158727,84729
502,4610,158782,84759
503,4630,158794,84766
504,4649,158814,84816
505,4668,158847,84820
506,4687,158928,84822
507,4706,159017,84819
508,4725,159084,84814
509,4745,159152,84829
510,4764,159178,84871
511,4783,159226,84918
512,4801,159273,84916
513,4821,159357,84910
514,4840,159438,84914
515,4860,159492,84916
516,4879,159558,84921
517,4898,159523,84949
518,4917,159402,84942
519,4935,159204,84876
520,4955,158945,84777
521,4974,158729,84715
522,4993,158516,84646
523,5013,158335,84627
524,5032,158230,84640
525,5051,158168,84625
526,5070,158094,84616
527,5088,158080,84585
528,5108,158105,84569
529,5128,158103,84566
530,5147,158160,84590
531,5166,158228,84638
532,5185,158300,84663
533,5204,158351,84679
534,5223,158435,84675
535,5241,158500,84682
536,5262,158505,84664
537,5281,158537,84687
538,5300,158553,84704
539,5319,158533,84724
540,5338,158538,84723
541,5357,158569,84694
542,5376,158651,84719
543,5396,158679,84692
544,5415,158696,84717
545,5433,158714,84750
546,5452,158722,84768
547,5472,158761,84754
548,5491,158818,84752
549,5511,158906,84745
550,5530,158933,84750
551,5549,158950,84777
552,5568,159005,84807
553,5587,159023,84812
554,5606,159034,84777
555,5625,158935,84735
556,5644,158783,84664
557,5663,158494,84568
558,5683,158219,84529
559,5701,157974,84531
560,5721,157823,84503
561,5740,157728,84479
562,5759,157717,84450
563,5779,157728,84426
564,5798,157706,84419
565,5817,157730,84433
566,5835,157753,84490
567,5855,157821,84523
568,5874,157933,84532
569,5893,158058,84536
570,5913,158127,84530
571,5932,158188,84550
572,5951,158179,84546
573,5970,158162,84586
574,5989,158115,84575
575,6008,158138,84568
576,6027,158176,84540
577,6047,158229,84539
578,6066,158271,84581
579,6085,158279,84578
580,6104,158328,84620
581,6123,158322,84622
582,6142,158414,84624
