sample_index,timestamp_ms,ir,red
0,0,144836,77322
1,1,144952,77332
2,1,145028,77326
3,1,145102,77358
4,2,145167,77392
5,2,145255,77431
6,2,145321,77444
7,3,145431,77440
8,3,145553,77462
9,3,145649,77444
10,3,145719,77485
11,3,145767,77497
12,4,145630,77487
13,4,145320,77376
14,4,144904,77265
15,4,144426,77135
16,4,143943,77025
17,5,143569,76955
18,5,143304,76935
19,5,143162,76954
20,5,143119,76935
21,6,143125,76922
22,6,143202,76918
23,6,143318,76937
24,6,143432,76972
25,7,143585,77036
26,7,143744,77095
27,7,143917,77120
28,7,144059,77141
29,7,144167,77134
30,7,144241,77126
31,7,144245,77132
32,8,144217,77144
33,8,144207,77182
34,9,144195,77163
35,9,144241,77177
36,9,144319,77184
37,9,144398,77179
38,9,144445,77202
39,9,144521,77240
40,9,144606,77290
41,9,144678,77306
42,9,144770,77288
43,10,144866,77314
44,10,144961,77308
45,10,145003,77336
46,10,145045,77360
47,10,145114,77411
48,10,145171,77405
49,10,145272,77413
50,10,145385,77404
51,10,145451,77403
52,10,145428,77394
53,11,145186,77349
54,11,144766,77261
55,11,144205,77135
56,11,143715,77017
57,11,143289,76897
58,11,142935,76844
59,11,142752,76811
60,11,142655,76833
61,11,142672,76875
62,11,142717,76867
63,11,142802,76886
64,12,142932,76888
65,12,143085,76916
66,12,143279,76986
67,12,143495,77044
68,12,143669,77126
69,12,143806,77124
70,12,143895,77137
71,13,143958,77125
72,13,143981,77108
73,13,143990,77110
74,13,143980,77137
75,13,144005,77181
76,13,144022,77199
77,13,144139,77212
78,13,144259,77226
79,13,144418,77242
80,13,144526,77274
81,13,144598,77298
82,14,144686,77368
83,14,144727,77365
84,14,144854,77368
85,14,145000,77367
86,14,145101,77386
87,14,145234,77441
88,14,145367,77489
89,14,145483,77536
90,14,145594,77549
91,14,145721,77578
92,14,145806,77562
93,14,145713,77493
94,15,145395,77412
95,15,144905,77325
96,15,144382,77223
97,15,143867,77124
98,15,143526,77030
99,15,143303,76974
100,15,143182,76929
101,15,143116,76954
102,15,143075,76971
103,15,143089,76981
104,15,143126,76996
105,15,143238,77009
106,15,143458,77043
107,15,143657,77053
108,16,143806,77104
109,16,143904,77148
110,16,143944,77170
111,16,143951,77144
112,16,143951,77140
113,16,143937,77143
114,16,143956,77106
115,16,143962,77124
116,16,143983,77162
117,16,144010,77182
118,16,144017,77174
119,17,144076,77169
120,17,144140,77185
121,17,144220,77163
122,17,144277,77189
123,17,144293,77225
124,17,144332,77269
125,17,144348,77256
126,17,144422,77252
127,17,144506,77249
128,17,144597,77290
129,17,144648,77307
130,17,144737,77338
131,18,144778,77362
132,18,144717,77337
133,18,144508,77244
134,18,144115,77133
135,18,143591,76996
136,18,143055,76893
137,18,142595,76818
138,18,142270,76788
139,18,142084,76778
140,18,142021,76738
141,18,142055,76740
142,18,142103,76732
143,18,142167,76771
144,18,142233,76831
145,19,142382,76882
146,19,142543,76916
147,19,142738,76923
148,19,142895,76964
149,19,142998,76967
150,19,143032,76970
151,19,143007,77000
152,19,143000,77026
153,19,142951,77013
154,19,142989,77013
155,19,143020,77003
156,19,143088,76984
157,19,143134,77019
158,19,143178,77065
159,19,143259,77095
160,20,143317,77127
161,20,143447,77134
162,20,143554,77139
163,20,143637,77142
164,20,143738,77175
165,20,143792,77190
166,20,143863,77252
167,20,143910,77245
168,20,144024,77268
169,20,144124,77269
170,20,144232,77267
171,20,144318,77318
172,20,144365,77312
173,20,144304,77318
174,20,144030,77225
175,21,143619,77117
176,21,143074,76972
177,21,142584,76846
178,21,142121,76760
179,21,141789,76737
180,21,141622,76747
181,21,141525,76725
182,21,141539,76719
183,21,141615,76718
184,21,141700,76731
185,21,141787,76763
186,21,141916,76809
187,21,142081,76880
188,21,142245,76916
189,21,142427,76949
190,21,142560,76929
191,22,142635,76933
192,22,142657,76949
193,22,142655,76966
194,22,142643,76999
195,22,142617,76986
196,22,142635,76982
197,22,142692,76967
198,22,142758,76962
199,22,142813,76997
200,22,142858,77035
201,22,142928,77077
202,22,142989,77090
203,22,143111,77108
204,22,143214,77104
205,22,143326,77120
206,23,143406,77154
207,23,143465,77189
208,23,143535,77230
209,23,143599,77232
210,23,143696,77250
211,23,143825,77262
212,23,143923,77258
213,23,144006,77289
214,23,144042,77316
215,23,144051,77328
216,23,143851,77264
217,23,143488,77142
218,23,143005,77010
219,23,142459,76878
220,23,141965,76785
221,24,141575,76724
222,24,141358,76740
223,24,141235,76713
224,24,141218,76694
225,24,141321,76703
226,24,141373,76710
227,24,141471,76730
228,24,141549,76781
229,24,141715,76855
230,24,141876,76892
231,24,142084,76925
232,24,142262,76926
233,24,142374,76934
234,24,142406,76955
235,25,142415,76987
236,25,142372,76997
237,25,142374,76988
238,25,142410,76995
239,25,142448,76987
240,25,142506,76981
241,25,142584,77015
242,25,142615,77046
243,25,142681,77083
244,25,142738,77104
245,25,142860,77112
246,25,142952,77127
247,25,143061,77131
248,25,143149,77171
249,25,143245,77199
250,25,143299,77240
251,25,143399,77250
252,26,143493,77278
253,26,143637,77281
254,26,143759,77281
255,26,143846,77332
256,26,143934,77354
257,26,143986,77378
258,26,143910,77348
259,26,143657,77237
260,26,143258,77120
261,26,142736,76970
262,26,142249,76898
263,26,141827,76854
264,36,141535,76821
265,55,141421,76795
266,74,141404,76765
267,93,141444,76771
268,113,141506,76782
269,132,141604,76812
270,151,141723,76866
271,170,141854,76923
272,189,142063,76966
273,208,142261,76988
274,227,142436,77014
275,247,142536,77025
276,266,142586,77054
277,285,142613,77073
278,304,142601,77083
