sample_index,timestamp_ms,ir,red
0,0,168230,97971
1,1,168192,97985
2,1,168201,98023
3,1,168219,98001
4,2,168282,97989
5,2,168321,97993
6,2,168374,97957
7,2,168386,97969
8,2,168391,97969
9,2,168384,97992
10,3,168382,97972
11,3,168369,97934
12,3,168399,97914
13,3,168389,97892
14,3,168428,97891
15,4,168466,97914
16,4,168510,97970
17,4,168529,97956
18,4,168541,97929
19,4,168543,97904
20,4,168549,97891
21,4,168563,97893
22,4,168548,97900
23,5,168301,97869
24,5,167960,97814
25,5,167777,97781
26,5,167678,97734
27,5,167669,97700
28,5,167672,97723
29,5,167684,97705
30,6,167644,97742
31,6,167610,97752
32,6,167634,97747
33,6,167724,97748
34,6,167845,97771
35,7,167927,97781
36,7,168022,97842
37,7,168058,97898
38,7,168138,97930
39,7,168181,97936
40,7,168217,97906
41,7,168299,97879
42,8,168290,97867
43,8,168350,97883
44,8,168344,97911
45,8,168388,97948
46,8,168475,97944
47,8,168541,97945
48,8,168629,97959
49,8,168694,97947
50,9,168720,97967
51,9,168746,97960
52,9,168692,97969
53,9,168431,97887
54,9,168186,97830
55,9,168042,97779
56,9,168038,97756
57,9,168005,97764
58,9,167999,97761
59,9,167990,97784
60,9,167974,97776
61,10,167964,97734
62,10,168020,97724
63,10,168047,97720
64,10,168078,97697
65,10,168101,97715
66,10,168128,97766
67,10,168143,97766
68,10,168162,97766
69,10,168216,97749
70,10,168293,97740
71,10,168283,97729
72,11,168310,97746
73,11,168333,97774
74,11,168367,97793
75,11,168400,97800
76,11,168482,97795
77,11,168574,97784
78,11,168612,97776
79,11,168639,97797
80,11,168681,97857
81,11,168712,97861
82,11,168677,97826
83,11,168420,97722
84,12,168181,97631
85,12,167993,97605
86,12,167942,97614
87,12,167872,97651
88,12,167863,97676
89,12,167877,97678
90,12,167895,97667
91,12,167953,97633
92,12,167965,97624
93,13,167985,97658
94,13,168004,97666
95,13,168014,97687
96,13,168047,97695
97,13,168112,97691
98,13,168193,97674
99,13,168216,97666
100,13,168235,97682
101,13,168228,97683
102,13,168271,97724
103,13,168279,97715
104,13,168348,97720
105,14,168389,97708
106,14,168467,97719
107,14,168533,97725
108,14,168598,97753
109,14,168605,97775
110,14,168629,97782
111,14,168658,97754
112,14,168683,97739
113,14,168744,97736
114,14,168721,97718
115,14,168498,97651
116,14,168171,97644
117,15,167998,97592
118,15,167935,97587
119,15,167942,97581
120,15,167996,97574
121,15,167990,97548
122,15,167987,97563
123,15,167963,97597
124,15,167939,97605
125,15,167970,97580
126,15,168027,97577
127,15,168135,97583
128,15,168142,97579
129,16,168165,97592
130,16,168173,97632
131,16,168192,97634
132,16,168212,97649
133,16,168235,97633
134,16,168276,97616
135,16,168285,97607
136,16,168319,97632
137,16,168314,97657
138,16,168309,97670
139,16,168333,97668
140,16,168363,97669
141,16,168433,97659
142,17,168484,97656
143,17,168509,97673
144,17,168481,97654
145,17,168307,97626
146,17,168123,97596
147,17,168044,97577
148,17,168049,97559
149,17,168011,97538
150,17,168013,97545
151,17,168010,97577
152,17,167999,97587
153,17,168002,97566
154,18,168036,97574
155,18,168053,97563
156,18,168138,97562
157,18,168193,97589
158,18,168228,97605
159,18,168211,97611
160,18,168202,97608
161,18,168230,97600
162,18,168274,97584
163,18,168333,97574
164,18,168374,97597
165,18,168381,97598
166,18,168402,97623
167,19,168436,97623
168,19,168542,97643
169,19,168567,97607
170,19,168654,97612
171,19,168696,97598
172,19,168695,97600
173,19,168674,97628
174,19,168480,97591
175,19,168222,97513
176,19,168031,97454
177,19,168019,97443
178,19,167968,97421
179,19,167957,97421
180,20,167951,97459
181,20,167954,97452
182,20,167938,97458
183,20,167970,97439
184,20,168058,97440
185,20,168090,97421
186,20,168123,97434
187,20,168172,97490
188,20,168209,97489
189,20,168239,97486
190,20,168277,97457
191,20,168336,97458
192,20,168375,97421
193,20,168414,97449
194,21,168455,97493
195,21,168497,97504
196,21,168541,97499
197,21,168612,97495
198,21,168669,97482
199,21,168677,97459
200,21,168736,97480
201,21,168750,97497
202,21,168745,97513
203,21,168700,97475
204,21,168684,97450
205,21,168438,97338
206,21,168115,97265
207,21,167924,97247
208,21,167822,97225
209,22,167779,97229
210,22,167744,97215
211,22,167783,97236
212,22,167797,97213
213,22,167854,97192
214,22,167872,97191
215,22,167909,97217
216,22,167930,97243
217,22,167983,97275
218,22,168077,97279
219,22,168134,97252
220,22,168198,97252
221,22,168198,97231
222,22,168263,97261
223,22,168273,97302
224,22,168293,97314
225,23,168353,97321
226,23,168384,97290
227,23,168468,97289
228,23,168529,97264
229,23,168529,97296
230,23,168521,97315
231,23,168524,97352
232,23,168509,97329
233,23,168552,97325
234,23,168574,97304
235,23,168627,97302
236,23,168608,97303
237,23,168491,97244
238,23,168112,97172
239,24,167802,97141
240,24,167700,97124
241,24,167664,97099
242,24,167705,97079
243,24,167727,97086
244,24,167721,97073
245,24,167707,97130
246,24,167714,97126
247,24,167739,97131
248,24,167800,97112
249,24,167905,97104
250,24,167937,97092
251,24,168009,97124
252,24,168029,97160
253,24,168039,97175
254,25,168064,97173
255,25,168123,97177
256,25,168170,97161
257,25,168219,97167
258,25,168278,97188
259,25,168327,97207
260,25,168367,97228
261,25,168400,97238
262,25,168435,97264
263,35,168458,97214
264,55,168534,97212
265,74,168570,97236
