sample_index,timestamp_ms,ir,red
0,0,162178,86275
1,1,162191,86289
2,1,162193,86295
3,1,162219,86349
4,2,162236,86360
5,2,162305,86349
6,2,162308,86317
7,3,162311,86300
8,3,162294,86288
9,3,162275,86310
10,3,162291,86351
11,3,162358,86375
12,3,162452,86395
13,4,162542,86378
14,4,162608,86379
15,4,162634,86366
16,4,162630,86383
17,4,162645,86433
18,5,162686,86441
19,5,162767,86446
20,5,162804,86447
21,5,162918,86442
22,6,162945,86445
23,6,162994,86477
24,6,163036,86507
25,6,163064,86506
26,6,163062,86521
27,7,162980,86465
28,7,162841,86403
29,7,162644,86366
30,7,162464,86332
31,7,162358,86355
32,8,162300,86360
33,8,162249,86327
34,8,162227,86312
35,8,162214,86294
36,8,162185,86278
37,8,162213,86293
38,9,162244,86326
39,9,162281,86359
40,9,162262,86333
41,9,162290,86325
42,9,162395,86328
43,9,162442,86306
44,9,162432,86317
45,10,162343,86308
46,10,162273,86336
47,10,162255,86313
48,10,162308,86333
49,10,162435,86326
50,10,162445,86298
51,10,162459,86329
52,10,162457,86355
53,10,162535,86381
54,10,162632,86426
55,10,162734,86428
56,11,162817,86410
57,11,162839,86379
58,11,162848,86409
59,11,162898,86448
60,11,162976,86497
61,11,163041,86509
62,11,163086,86488
63,11,163164,86474
64,11,163181,86456
65,11,163164,86470
66,11,163124,86465
67,12,163062,86469
68,12,162905,86433
69,12,162740,86359
70,12,162565,86309
71,12,162431,86250
72,12,162325,86265
73,12,162232,86249
74,12,162110,86242
75,12,161995,86213
76,12,161945,86199
77,12,161971,86179
78,13,162022,86186
79,13,162055,86198
80,13,162065,86229
81,13,162076,86242
82,13,162074,86221
83,13,162070,86218
84,13,162069,86197
85,13,162081,86174
86,13,162072,86178
87,14,162087,86218
88,14,162101,86242
89,14,162098,86246
90,14,162165,86244
91,14,162276,86267
92,14,162358,86258
93,14,162365,86264
94,14,162431,86286
95,14,162465,86339
96,14,162485,86317
97,14,162482,86307
98,15,162494,86287
99,15,162547,86272
100,15,162582,86276
101,15,162657,86316
102,15,162662,86340
103,15,162652,86325
104,15,162731,86352
105,15,162807,86341
106,15,162951,86365
107,15,163014,86361
108,15,163029,86371
109,15,162916,86377
110,15,162710,86318
111,16,162541,86272
112,16,162357,86203
113,16,162266,86169
114,16,162149,86142
115,16,162085,86145
116,16,161987,86158
117,16,161928,86128
118,16,161897,86135
119,16,161881,86097
120,16,161926,86093
121,16,161938,86096
122,16,161978,86101
123,17,162045,86178
124,17,162166,86207
125,17,162280,86225
126,17,162333,86201
127,17,162377,86180
128,17,162341,86173
129,17,162393,86220
130,17,162479,86252
131,17,162579,86292
132,17,162637,86292
133,17,162662,86277
134,17,162705,86268
135,17,162718,86240
136,18,162761,86252
137,18,162735,86292
138,18,162784,86321
139,18,162820,86319
140,18,162859,86292
141,18,162939,86285
142,18,162926,86251
143,18,162912,86266
144,18,162876,86270
145,18,162873,86292
146,18,162916,86319
147,18,163036,86324
148,19,163095,86303
149,19,163092,86279
150,19,162992,86231
151,19,162787,86206
152,19,162506,86165
153,19,162290,86123
154,19,162148,86074
155,19,162103,86065
156,19,162130,86024
157,19,162032,85999
158,19,161930,86002
159,19,161847,86027
160,19,161845,86019
161,19,161957,86053
162,20,162074,86044
163,20,162160,86055
164,20,162199,86065
165,20,162211,86069
166,20,162203,86126
167,20,162197,86116
168,20,162265,86123
169,20,162314,86136
170,20,162405,86138
171,20,162518,86186
172,20,162603,86230
173,20,162585,86241
174,20,162531,86230
175,20,162524,86224
176,20,162530,86204
177,21,162601,86191
178,21,162577,86182
179,21,162490,86137
180,21,162356,86135
181,21,162231,86109
182,21,162185,86092
183,21,162205,86031
184,21,162171,86016
185,21,162067,85995
186,21,162097,86029
187,21,162163,86077
188,21,162241,86075
189,21,162223,86048
190,21,162062,85972
191,21,161822,85888
192,22,161540,85835
193,22,161344,85803
194,22,161148,85781
195,22,161021,85760
196,22,160916,85739
197,22,160863,85689
198,22,160860,85704
199,22,160825,85670
200,22,160765,85668
201,22,160735,85705
202,22,160805,85723
203,22,160867,85742
204,22,160913,85719
205,22,160960,85701
206,22,160910,85681
207,23,160873,85691
208,23,160801,85695
209,23,160768,85714
210,23,160762,85693
211,23,160748,85655
212,23,160800,85660
213,23,160831,85640
214,23,160875,85672
215,23,160893,85704
216,23,160915,85715
217,23,160934,85720
218,24,160941,85695
219,24,160964,85695
220,24,161012,85680
221,24,161047,85695
222,24,161024,85714
223,24,160963,85716
224,24,160978,85721
225,24,161004,85712
226,24,161060,85705
227,24,161063,85668
228,24,161006,85667
229,24,160807,85617
230,24,160527,85577
231,24,160298,85533
232,25,160165,85492
233,25,160061,85441
234,25,159972,85415
235,25,159832,85378
236,25,159726,85398
237,25,159734,85434
238,25,159729,85421
239,25,159805,85441
240,25,159883,85424
241,25,159925,85407
242,25,159916,85430
243,25,159903,85430
244,25,159891,85455
245,25,159836,85429
246,25,159809,85430
247,25,159797,85390
248,25,159888,85391
249,26,159968,85439
250,26,160036,85454
251,26,160037,85497
252,26,160007,85481
253,26,160064,85482
254,26,160117,85494
255,26,160205,85494
256,26,160210,85484
257,26,160172,85471
258,26,160138,85511
259,26,160187,85537
260,26,160298,85539
261,26,160406,85543
262,26,160485,85531
263,35,160488,85537
264,53,160469,85538
265,72,160493,85574
266,91,160552,85601
267,110,160608,85609
268,129,160634,85582
269,150,160693,85592
270,168,160684,85561
271,187,160611,85537
272,207,160410,85529
273,225,160149,85449
274,245,159839,85396
275,263,159600,85323
276,283,159507,85287
277,302,159424,85270
278,321,159357,85271
279,340,159284,85283
280,359,159159,85260
281,378,159034,85228
282,397,158996,85200
283,416,159094,85213
284,436,159150,85230
285,456,159201,85248
286,474,159209,85258
287,493,159160,85279
288,512,159223,85283
289,531,159311,85279
290,550,159374,85277
291,570,159363,85264
292,589,159339,85268
293,608,159305,85286
294,627,159343,85320
295,646,159425,85327
296,665,159483,85326
297,684,159564,85323
298,704,159624,85317
299,723,159686,85360
300,742,159729,85389
301,762,159815,85439
302,780,159864,85430
303,799,159934,85439
304,819,160016,85424
305,839,160059,85419
306,857,160118,85439
307,876,160152,85493
308,896,160186,85507
309,915,160160,85490
310,934,160205,85506
311,953,160291,85517
312,972,160386,85493
313,991,160426,85513
314,1010,160349,85506
315,1029,160249,85507
316,1048,160044,85460
317,1067,159864,85407
318,1086,159675,85329
319,1106,159507,85268
320,1125,159322,85241
321,1144,159213,85241
322,1163,159164,85263
323,1182,159122,85247
324,1202,159075,85241
325,1220,159027,85203
326,1240,158999,85187
327,1259,159036,85200
328,1279,159128,85239
329,1297,159232,85295
330,1316,159270,85296
331,1336,159244,85287
332,1354,159297,85293
333,1375,159389,85300
334,1393,159482,85310
335,1413,159517,85312
336,1431,159460,85344
337,1450,159459,85345
338,1470,159538,85395
339,1488,159672,85379
340,1509,159808,85385
341,1527,159776,85382
342,1546,159763,85378
343,1566,159786,85440
344,1585,159843,85443
345,1603,159866,85463
346,1622,159885,85442
347,1643,159935,85436
348,1661,159943,85440
349,1681,160008,85474
350,1700,160037,85518
351,1719,160007,85488
352,1737,159994,85487
353,1757,160017,85462
354,1777,160138,85485
355,1795,160215,85513
356,1814,160315,85544
357,1834,160300,85562
358,1853,160250,85551
359,1871,160175,85520
360,1890,160054,85462
361,1911,159976,85438
362,1929,159760,85363
363,1949,159440,85309
364,1968,159168,85287
365,1987,158986,85266
366,2006,158935,85283
367,2025,158916,85226
368,2045,158834,85181
369,2063,158675,85153
370,2083,158615,85168
371,2102,158649,85206
372,2120,158742,85251
373,2140,158752,85240
374,2159,158722,85198
375,2179,158766,85190
376,2198,158724,85180
377,2217,158704,85202
378,2236,158686,85232
379,2255,158629,85213
380,2274,158555,85208
381,2292,158488,85172
382,2312,158541,85151
383,2331,158634,85178
384,2351,158723,85198
385,2369,158713,85236
386,2388,158650,85236
387,2408,158620,85214
388,2427,158710,85222
389,2447,158813,85230
390,2465,158869,85229
391,2484,158840,85245
392,2503,158822,85280
393,2523,158837,85283
394,2542,158837,85297
395,2561,158913,85276
396,2581,159023,85289
397,2600,159133,85326
398,2619,159273,85370
399,2638,159425,85443
400,2657,159464,85462
401,2676,159429,85440
402,2695,159330,85381
403,2715,159242,85353
404,2734,159183,85327
405,2753,159076,85324
406,2772,158960,85328
407,2791,158843,85315
408,2809,158787,85305
409,2829,158802,85293
410,2849,158912,85278
411,2868,158933,85280
412,2887,158975,85322
413,2906,159046,85376
414,2925,159196,85434
415,2943,159322,85479
416,2963,159439,85450
417,2982,159504,85446
418,3001,159521,85431
419,3021,159517,85456
420,3040,159543,85482
421,3059,159545,85507
422,3078,159522,85494
423,3097,159577,85462
424,3116,159637,85472
425,3136,159713,85482
426,3155,159734,85511
427,3174,159732,85532
428,3193,159767,85545
429,3212,159826,85571
430,3230,159902,85561
431,3249,159941,85531
432,3270,159869,85497
433,3289,159821,85525
434,3308,159854,85536
