sample_index,timestamp_ms,ir,red
0,1,162820,87422
1,1,162922,87415
2,1,163002,87391
3,2,163027,87415
4,2,163017,87421
5,2,163007,87465
6,2,163025,87457
7,3,163004,87412
8,3,162828,87361
9,3,162558,87285
10,3,162248,87228
11,3,162026,87194
12,4,161860,87200
13,4,161762,87190
14,4,161691,87166
15,4,161659,87131
16,4,161670,87117
17,4,161647,87102
18,4,161629,87111
19,4,161675,87163
20,5,161708,87184
21,5,161743,87182
22,5,161801,87160
23,5,161860,87151
24,5,161830,87131
25,5,161841,87136
26,5,161829,87155
27,6,161845,87171
28,6,161820,87169
29,6,161860,87165
30,7,161913,87155
31,7,161990,87143
32,7,162054,87177
33,7,162144,87215
34,7,162225,87258
35,7,162280,87248
36,8,162312,87258
37,8,162368,87242
38,8,162444,87243
39,8,162515,87256
40,8,162555,87282
41,8,162596,87319
42,8,162621,87305
43,9,162676,87329
44,9,162708,87311
45,9,162732,87291
46,9,162624,87239
47,9,162423,87217
48,9,162137,87188
49,9,161844,87134
50,9,161650,87109
51,9,161517,87067
52,9,161483,87030
53,9,161441,87026
54,10,161385,87025
55,10,161354,87019
56,10,161326,87040
57,10,161326,87043
58,10,161367,87031
59,10,161429,87017
60,10,161480,87018
61,10,161490,87034
62,10,161523,87042
63,10,161524,87088
64,11,161546,87085
65,11,161603,87065
66,11,161626,87072
67,11,161670,87060
68,11,161736,87067
69,11,161774,87083
70,11,161836,87132
71,11,161915,87142
72,11,161979,87137
73,11,162071,87146
74,11,162181,87140
75,11,162217,87145
76,12,162306,87164
77,12,162340,87214
78,12,162409,87230
79,12,162411,87242
80,12,162472,87224
81,12,162546,87229
82,12,162626,87227
83,12,162712,87237
84,12,162746,87262
85,12,162726,87268
86,13,162596,87224
87,13,162412,87175
88,13,162211,87122
89,13,162020,87064
90,13,161867,87044
91,13,161692,87011
92,13,161568,87041
93,13,161476,87020
94,13,161496,87012
95,13,161544,86990
96,14,161576,86987
97,14,161585,86988
98,14,161666,87015
99,14,161708,87063
100,14,161773,87094
101,14,161831,87102
102,14,161905,87069
103,14,161976,87047
104,14,161962,87037
105,14,161963,87067
106,14,161926,87070
107,14,161950,87097
108,14,162009,87107
109,15,162055,87107
110,15,162150,87090
111,15,162265,87096
112,15,162307,87121
113,15,162334,87143
114,15,162349,87166
115,15,162389,87168
116,15,162488,87197
117,15,162573,87178
118,15,162661,87185
119,15,162699,87180
120,15,162732,87204
121,15,162741,87254
122,16,162792,87240
123,16,162840,87257
124,16,162937,87238
125,16,163063,87243
126,16,163109,87249
127,16,163093,87249
128,16,162976,87240
129,16,162738,87203
130,16,162513,87159
131,16,162330,87084
132,16,162195,87036
133,16,162047,87002
134,16,161951,86990
135,16,161863,87020
136,17,161818,87011
137,17,161825,87016
138,17,161835,86994
139,17,161880,86995
140,17,161941,86991
141,17,161979,87006
142,17,162033,87015
143,17,162039,87058
144,17,162026,87054
145,17,162033,87046
146,17,162046,87010
147,17,162038,87002
148,17,162049,86994
149,18,162074,87020
150,18,162069,87060
151,18,162101,87054
152,18,162177,87067
153,18,162257,87051
154,18,162320,87045
155,18,162392,87076
156,18,162425,87084
157,18,162482,87129
158,18,162520,87140
159,18,162597,87131
160,18,162653,87132
