sample_index,timestamp_ms,ir,red
0,0,163858,86776
1,1,164067,86818
2,1,164325,86860
3,1,164429,86841
4,1,164159,86696
5,1,163700,86552
6,2,163573,86538
7,2,163899,86655
8,2,164440,86785
9,2,164810,86862
10,2,164842,86863
11,2,164719,86814
12,3,164617,86776
13,3,164617,86742
14,3,164668,86739
15,3,164650,86715
16,3,164593,86689
17,3,164524,86702
18,3,164577,86736
19,3,164598,86685
20,3,164452,86592
21,4,164224,86500
22,4,164137,86476
23,4,164091,86466
24,4,164125,86489
25,4,164158,86498
26,4,164106,86481
27,4,164091,86469
28,4,164098,86450
29,5,164030,86390
30,5,163795,86333
31,5,163660,86349
32,5,163813,86420
33,5,164028,86460
34,5,164198,86459
35,5,164149,86379
36,5,163888,86265
37,5,163586,86197
38,6,163279,86114
39,6,162936,86048
40,6,162719,86008
41,6,162841,86059
42,6,163130,86090
43,6,163453,86151
44,7,163725,86240
45,7,163987,86325
46,7,164226,86458
47,7,164478,86552
48,7,164710,86610
49,7,164766,86570
50,7,164736,86537
51,7,164631,86506
52,7,164531,86509
53,7,164593,86551
54,8,164602,86528
55,8,164532,86478
56,8,164393,86406
57,8,164310,86374
58,8,164414,86416
59,8,164610,86485
60,8,164797,86559
61,8,164805,86553
62,8,164790,86528
63,8,164857,86525
64,9,164941,86559
65,9,165015,86593
66,9,165072,86679
67,9,165173,86787
68,9,165270,86824
69,9,165424,86892
70,9,165553,86908
71,9,165654,86940
72,9,165690,86961
73,9,165711,86990
74,10,165757,87041
75,10,165809,87032
76,10,165865,87025
77,10,165834,86965
78,10,165770,86913
79,10,165661,86871
80,10,165547,86830
81,10,165441,86828
82,10,165337,86788
83,11,165358,86773
84,11,165362,86727
85,11,165307,86681
86,11,165145,86631
87,11,164928,86576
88,11,164816,86584
89,11,164771,86546
90,11,164731,86529
91,11,164652,86474
92,11,164696,86479
93,11,164774,86499
94,11,164866,86506
95,12,164944,86566
96,12,165076,86593
97,12,165196,86606
98,12,165249,86572
99,12,165249,86551
100,12,165183,86522
101,12,165122,86506
102,12,165057,86540
103,12,165058,86526
104,12,165129,86517
105,12,165180,86521
106,12,165195,86472
107,13,165069,86444
108,13,164939,86428
109,13,164859,86447
110,13,164724,86402
111,13,164587,86352
112,13,164514,86315
113,13,164400,86253
114,13,164265,86199
115,13,164149,86180
116,13,164096,86207
117,13,164089,86203
118,13,164173,86198
119,13,164155,86177
120,14,164072,86128
121,14,163956,86079
122,14,163889,86070
123,14,163907,86118
124,14,164037,86155
125,14,164218,86172
126,14,164327,86166
127,14,164403,86164
128,14,164413,86146
129,14,164352,86151
130,14,164279,86163
131,14,164225,86148
132,14,164288,86162
133,15,164399,86173
134,15,164457,86159
135,15,164468,86162
136,15,164429,86170
137,15,164318,86151
138,15,164155,86104
139,15,164092,86103
140,15,164088,86084
141,15,164095,86039
142,15,164102,86042
143,15,163971,86019
144,15,163812,86003
145,15,163699,85990
146,16,163700,85976
147,16,163727,85948
148,16,163687,85926
149,16,163533,85882
150,16,163404,85868
151,16,163349,85906
152,16,163319,85870
153,16,163264,85863
154,16,163173,85815
155,16,163185,85810
156,16,163212,85808
157,16,163290,85823
158,16,163334,85865
159,16,163256,85830
160,17,163223,85826
161,17,163264,85816
162,17,163367,85812
163,17,163458,85808
164,17,163528,85849
165,17,163624,85897
166,17,163690,85899
167,17,163753,85911
168,17,163669,85847
169,17,163528,85810
170,17,163307,85756
171,17,163236,85768
172,17,163205,85798
173,17,163274,85802
174,17,163366,85816
175,18,163321,85782
176,18,163201,85737
177,18,163008,85702
178,18,162794,85677
179,18,162664,85684
180,18,162590,85683
181,18,162596,85696
182,18,162660,85667
183,18,162679,85630
184,18,162565,85602
185,18,162542,85626
186,18,162624,85687
187,18,162842,85697
188,18,162938,85692
189,18,162872,85655
190,19,162743,85599
191,19,162617,85585
192,19,162644,85606
193,19,162791,85676
194,19,162927,85681
195,19,163048,85715
196,19,163139,85698
197,19,163237,85676
198,19,163169,85669
199,19,163128,85676
200,19,163115,85695
201,19,163067,85693
202,19,163016,85683
203,19,162971,85660
204,19,163006,85647
205,20,163050,85644
206,20,163119,85655
207,20,163095,85706
208,20,162997,85666
209,20,162903,85654
210,20,162871,85628
211,20,162928,85607
212,20,162911,85590
213,20,162875,85600
214,20,162799,85613
215,20,162693,85596
216,20,162595,85577
217,20,162523,85561
218,20,162544,85551
219,20,162532,85553
220,21,162597,85566
221,21,162628,85582
222,21,162538,85593
223,21,162431,85596
224,21,162387,85558
225,21,162385,85554
226,21,162393,85545
227,21,162459,85560
228,21,162448,85590
229,21,162455,85568
230,21,162370,85562
231,21,162329,85534
232,21,162402,85517
233,21,162447,85492
234,22,162477,85499
235,22,162521,85553
236,22,162618,85571
237,22,162746,85596
238,22,162923,85597
239,22,163087,85612
240,22,163129,85590
241,22,163134,85601
242,22,163108,85612
243,22,163082,85625
244,22,163060,85626
