sample_index,timestamp_ms,ir,red
0,0,160394,86818
1,0,160458,86822
2,1,160450,86791
3,1,160374,86748
4,1,160415,86761
5,1,160491,86797
6,2,160606,86828
7,2,160657,86881
8,2,160710,86889
9,2,160784,86923
10,2,160871,86934
11,2,161022,86955
12,2,161048,86936
13,3,161067,86933
14,3,161087,86994
15,3,161135,87009
16,3,161199,87019
17,3,161305,87015
18,3,161423,87021
19,3,161446,87024
20,4,161477,87008
21,4,161430,87016
22,4,161386,87013
23,4,161358,86997
24,4,161431,86996
25,4,161494,86990
26,4,161556,86963
27,4,161470,86949
28,4,161380,86932
29,4,161331,86901
30,5,161290,86888
31,5,161315,86865
32,5,161254,86794
33,5,161148,86753
34,5,161050,86728
35,5,160941,86693
36,5,160852,86710
37,5,160729,86654
38,6,160683,86622
39,6,160652,86569
40,6,160658,86522
41,6,160641,86502
42,6,160640,86500
43,6,160611,86498
44,6,160606,86505
45,6,160660,86510
46,7,160726,86509
47,7,160853,86500
48,7,160885,86488
49,7,160888,86498
50,7,160875,86503
51,7,160873,86535
52,7,160876,86542
53,7,160886,86526
54,7,160898,86519
55,8,160956,86501
56,8,160956,86500
57,8,160948,86498
58,8,160915,86545
59,8,160899,86551
60,8,160973,86564
61,8,161026,86571
62,8,161098,86588
63,9,161155,86616
64,9,161220,86654
65,9,161339,86752
66,9,161448,86805
67,9,161569,86848
68,9,161608,86873
69,9,161622,86860
70,9,161575,86881
71,9,161592,86920
72,9,161562,86949
73,9,161480,86938
74,10,161446,86943
75,10,161436,86925
76,10,161510,86927
77,11,161561,86925
78,11,161582,86948
79,11,161534,86938
80,11,161515,86951
81,11,161540,86964
82,11,161606,86961
83,11,161683,86937
84,11,161670,86920
85,11,161669,86916
86,12,161649,86937
87,12,161635,86956
88,12,161620,86934
89,12,161671,86921
90,12,161672,86891
91,12,161635,86831
92,12,161580,86820
93,12,161548,86809
94,12,161509,86827
95,12,161483,86797
96,12,161473,86767
97,12,161470,86736
98,12,161523,86714
99,13,161484,86668
100,13,161418,86644
101,13,161371,86661
102,13,161376,86645
103,13,161441,86671
104,13,161450,86629
105,13,161470,86584
106,13,161348,86552
107,13,161240,86554
108,13,161146,86569
109,13,161136,86568
110,13,161135,86560
111,13,161115,86501
112,14,161127,86481
113,14,161130,86448
114,14,161114,86454
115,14,161024,86418
116,14,160944,86437
117,14,160926,86421
118,14,160936,86387
119,14,160996,86362
120,14,160986,86335
121,14,160922,86344
122,14,160878,86346
123,14,160909,86385
124,14,160923,86401
125,15,160972,86413
126,15,161018,86400
127,15,161065,86427
128,15,161109,86450
129,15,161135,86482
130,15,161174,86535
131,15,161216,86560
132,15,161311,86570
133,15,161404,86586
134,15,161496,86607
135,15,161502,86603
136,15,161570,86635
137,15,161650,86708
138,16,161727,86703
139,16,161736,86706
140,16,161724,86671
141,16,161737,86661
142,16,161703,86647
143,16,161638,86649
144,16,161526,86676
145,16,161412,86656
146,16,161371,86655
147,16,161380,86634
148,16,161446,86644
149,16,161498,86623
150,16,161501,86658
151,17,161523,86670
152,17,161542,86698
153,17,161593,86733
154,17,161718,86747
155,17,161839,86756
156,17,161932,86752
157,17,162031,86775
158,17,162100,86813
159,17,162159,86897
160,17,162170,86872
161,17,162205,86855
162,17,162208,86824
163,17,162241,86803
164,17,162250,86795
165,18,162276,86794
166,18,162253,86804
167,18,162191,86772
168,18,162176,86764
169,18,162189,86736
170,18,162233,86714
171,18,162198,86687
172,18,162173,86683
173,18,162190,86715
174,18,162208,86735
175,18,162280,86737
176,18,162274,86715
177,18,162239,86669
178,18,162130,86603
179,19,162038,86593
180,19,161954,86596
181,19,161894,86615
182,19,161853,86567
183,19,161855,86553
184,19,161886,86552
185,19,161949,86547
186,19,161991,86558
187,19,162012,86564
188,19,161988,86585
189,19,161991,86595
190,19,162036,86577
191,19,162062,86556
192,19,162123,86556
193,19,162150,86566
194,20,162135,86587
195,20,162069,86631
196,20,162057,86630
197,20,162101,86658
198,20,162145,86642
199,20,162251,86646
200,20,162262,86643
201,20,162246,86656
202,20,162199,86686
203,20,162303,86730
204,20,162387,86774
205,20,162452,86776
206,20,162513,86754
207,20,162517,86739
208,20,162497,86761
209,20,162469,86780
210,21,162482,86845
211,21,162548,86855
212,21,162563,86842
213,21,162515,86819
214,21,162457,86794
215,21,162377,86805
216,21,162291,86808
217,21,162257,86873
218,21,162292,86894
219,21,162373,86905
220,21,162460,86906
221,21,162557,86906
222,21,162611,86927
223,21,162623,86931
224,21,162637,86977
225,22,162642,86963
226,22,162655,86970
227,22,162665,86926
228,22,162712,86913
229,22,162743,86887
230,22,162756,86901
231,22,162722,86925
232,22,162660,86903
233,22,162618,86885
234,22,162631,86867
235,22,162697,86841
236,22,162732,86852
237,22,162727,86858
238,22,162635,86855
239,23,162637,86891
240,23,162669,86879
241,23,162712,86876
242,23,162723,86863
243,23,162752,86841
244,23,162810,86854
245,23,162835,86862
246,23,162879,86876
247,23,162822,86862
248,23,162755,86806
249,23,162636,86728
250,23,162500,86662
251,23,162354,86630
252,23,162256,86603
253,23,162184,86603
254,24,162130,86601
255,24,162121,86594
256,24,162151,86579
257,24,162196,86563
258,24,162229,86584
259,24,162290,86639
260,24,162351,86680
261,24,162400,86725
262,24,162423,86727
263,35,162486,86733
264,54,162568,86786
265,74,162680,86833
266,93,162769,86868
267,112,162859,86935
268,131,162896,86990
269,150,162899,87006
270,169,162943,87016
271,188,162981,87012
272,208,163031,87012
273,227,163059,87023
274,246,163107,87046
275,265,163179,87115
276,284,163263,87137
277,303,163343,87162
278,322,163399,87157
279,342,163491,87159
280,361,163531,87169
281,380,163582,87160
282,399,163583,87203
283,418,163601,87225
284,437,163567,87219
285,456,163555,87217
286,475,163612,87248
287,495,163694,87279
288,514,163805,87336
289,533,163764,87327
290,552,163634,87296
291,571,163538,87274
292,590,163550,87253
293,609,163599,87224
294,629,163588,87191
295,648,163568,87168
296,667,163484,87126
297,686,163401,87119
298,705,163289,87056
299,724,163247,87015
300,743,163139,86943
301,763,163087,86893
302,782,163017,86881
303,801,163012,86882
304,820,163031,86921
305,839,163009,86896
306,858,162964,86868
307,877,162940,86809
308,897,162961,86794
309,916,163023,86790
310,935,163017,86805
311,954,162985,86821
312,973,162994,86812
313,992,162985,86802
314,1011,162996,86743
315,1030,163018,86712
316,1050,162966,86680
317,1069,162942,86660
318,1088,162837,86637
319,1107,162684,86623
320,1126,162542,86581
321,1145,162441,86572
322,1164,162406,86561
323,1184,162429,86553
324,1203,162432,86561
325,1222,162388,86566
326,1241,162342,86586
327,1260,162285,86592
328,1279,162318,86602
329,1298,162412,86618
330,1318,162482,86634
331,1337,162550,86657
332,1356,162551,86693
333,1375,162591,86716
334,1394,162594,86702
335,1413,162614,86717
336,1432,162642,86718
337,1452,162738,86728
338,1471,162765,86742
339,1490,162775,86762
340,1509,162724,86791
341,1528,162688,86804
342,1547,162737,86829
343,1566,162773,86828
344,1586,162886,86848
345,1605,162990,86880
346,1624,163104,86936
347,1643,163123,86954
348,1662,163123,86953
349,1681,163132,86960
350,1700,163153,86945
351,1719,163276,86938
352,1739,163343,86940
353,1758,163394,86959
354,1777,163316,86969
355,1796,163206,86969
356,1815,163102,86963
357,1834,163089,86940
358,1853,163106,86921
359,1873,163100,86889
360,1892,163104,86905
361,1911,163104,86896
362,1930,163074,86917
363,1949,163027,86883
364,1968,162972,86824
365,1987,162921,86797
366,2007,162899,86763
367,2026,162904,86756
368,2045,162824,86737
369,2064,162727,86737
370,2083,162600,86682
371,2102,162606,86656
372,2121,162595,86600
373,2141,162556,86560
374,2160,162504,86507
375,2179,162461,86512
376,2198,162426,86525
377,2217,162418,86519
378,2236,162437,86508
379,2255,162447,86488
380,2275,162495,86465
381,2294,162498,86486
382,2313,162569,86520
