sample_index,timestamp_ms,ir,red
0,0,165075,86157
1,1,165116,86138
2,1,165136,86126
3,1,165208,86119
4,1,165219,86092
5,2,165225,86117
6,2,165183,86107
7,2,165142,86134
8,2,165067,86111
9,2,165036,86091
10,3,165002,86057
11,3,164947,86013
12,3,164941,86029
13,3,164963,86023
14,3,164975,86083
15,4,165008,86085
16,4,165084,86086
17,5,165163,86106
18,5,165236,86161
19,5,165266,86111
20,6,165291,86121
21,6,165293,86163
22,6,165321,86195
23,6,165332,86194
24,7,165353,86185
25,7,165398,86183
26,7,165389,86178
27,7,165366,86182
28,7,165262,86176
29,8,165169,86170
30,8,165102,86172
31,8,165114,86159
32,8,165145,86153
33,8,165139,86110
34,9,165144,86092
35,9,165114,86090
36,9,165119,86133
37,9,165117,86112
38,9,165156,86142
39,9,165197,86132
40,9,165253,86117
41,9,165248,86113
42,9,165231,86110
43,10,165210,86122
44,10,165195,86137
45,10,165199,86148
46,10,165194,86115
47,10,165190,86110
48,10,165142,86068
49,10,165076,86064
50,10,165042,86092
51,10,165015,86097
52,10,165013,86093
53,10,165037,86106
54,11,165077,86073
55,11,165135,86089
56,11,165146,86081
57,11,165144,86106
58,11,165149,86109
59,11,165104,86089
60,11,165108,86086
61,11,165106,86080
62,11,165167,86048
63,11,165170,86039
64,12,165154,86058
65,12,165131,86046
66,12,165059,86039
67,12,164968,86011
68,12,164929,85976
69,12,164952,85959
70,12,164959,85944
71,12,164971,85916
72,12,164943,85929
73,13,164958,85941
74,13,164931,85937
75,13,164994,85910
76,13,165042,85902
77,13,165094,85890
78,13,165065,85889
79,13,165077,85899
80,13,165085,85930
81,13,165040,85901
82,13,165043,85919
83,13,165041,85894
84,13,165083,85888
85,13,165018,85855
86,14,164935,85848
87,14,164870,85865
88,14,164814,85879
89,14,164795,85872
90,14,164803,85836
91,14,164848,85836
92,14,164861,85817
93,14,164854,85847
94,14,164863,85865
95,14,164863,85884
96,14,164862,85881
97,14,164912,85862
98,14,164963,85856
99,15,164962,85827
100,15,164981,85858
101,15,164950,85870
102,15,164921,85897
103,15,164911,85877
104,15,164891,85862
105,15,164841,85818
106,15,164811,85808
107,15,164764,85790
108,15,164756,85793
109,15,164730,85830
110,15,164731,85843
111,16,164751,85837
112,16,164770,85824
113,16,164833,85821
114,16,164854,85819
115,16,164869,85813
